ID,MonthlyIncome
871,6013.210825
872,2128.094406
873,14393.18432
874,2128.094406
875,2221.900661
876,6576.048357
877,6060.113953
878,1987.385023
879,2362.610044
880,14627.69996
881,10789.48667
882,2221.900661
883,5966.307697
884,5919.40457
885,6153.920208
886,5872.501442
887,6200.823336
888,6013.210825
889,6153.920208
890,2174.997533
891,6107.01708
892,9898.327244
893,9898.327244
894,5966.307697
895,10836.3898
896,10039.03663
897,9992.1335
898,14252.47494
899,6153.920208
900,2174.997533
901,2174.997533
902,6200.823336
903,6529.14523
904,2268.803789
905,14486.99058
906,5872.501442
907,10461.16478
908,6060.113953
909,1987.385023
910,1940.481895
911,18231.39762
912,2221.900661
913,2221.900661
914,10132.84288
915,6060.113953
916,5919.40457
917,2034.28815
918,5919.40457
919,1940.481895
920,2456.4163
921,2081.191278
922,1940.481895
923,6107.01708
924,6153.920208
925,14956.02186
926,2362.610044
927,6153.920208
928,10414.26165
929,1940.481895
930,2268.803789
931,6388.435847
932,9945.230372
933,9945.230372
934,2034.28815
935,1940.481895
936,2081.191278
937,10273.55227
938,10320.45539
939,6529.14523
940,1940.481895
941,2597.125683
942,9992.1335
943,10789.48667
944,5872.501442
945,1893.578767
946,5966.307697
947,1940.481895
948,2034.28815
949,2268.803789
950,6060.113953
951,2362.610044
952,6060.113953
953,6060.113953
954,2174.997533
955,6107.01708
956,9898.327244
957,11211.61482
958,2362.610044
959,10461.16478
960,18934.94453
961,2174.997533
962,6107.01708
963,6294.629591
964,6247.726464
965,1987.385023
966,18419.01013
967,2128.094406
968,9945.230372
969,14768.40935
970,2128.094406
971,6013.210825
972,6153.920208
973,2128.094406
974,1940.481895
975,5919.40457
976,2081.191278
977,6576.048357
978,2174.997533
979,10273.55227
980,18137.59136
981,2174.997533
982,10179.74601
983,2174.997533
984,2128.094406
985,6060.113953
986,2268.803789
987,1940.481895
988,6013.210825
989,10461.16478
990,2034.28815
991,6294.629591
992,2128.094406
993,6247.726464
994,5919.40457
995,5966.307697
996,6435.338974
997,2034.28815
998,14627.69996
999,10039.03663
1000,1940.481895
1001,6435.338974
1002,5919.40457
1003,6153.920208
1004,6622.951485
1005,2362.610044
1006,6107.01708
1007,1987.385023
1008,6153.920208
1009,18278.30074
1010,6294.629591
1011,10273.55227
1012,6247.726464
1013,6294.629591
1014,6200.823336
1015,6107.01708
1016,2268.803789
1017,2362.610044
1018,9945.230372
1019,10039.03663
1020,1893.578767
1021,6107.01708
1022,6013.210825
1023,6013.210825
1024,10648.77729
1025,14252.47494
1026,18043.7851
1027,6107.01708
1028,5919.40457
1029,5872.501442
1030,10601.87416
1031,5872.501442
1032,2362.610044
1033,9898.327244
1034,1940.481895
1035,6200.823336
1036,1940.481895
1037,5966.307697
1038,10226.64914
1039,9898.327244
1040,6200.823336
1041,2174.997533
1042,2174.997533
1043,9945.230372
1044,6529.14523
1045,2128.094406
1046,1940.481895
1047,6013.210825
1048,10039.03663
1049,2268.803789
1050,6013.210825
1051,11070.90544
1052,2268.803789
1053,6060.113953
1054,2174.997533
1055,2174.997533
1056,2174.997533
1057,5966.307697
1058,14299.37807
1059,6576.048357
1060,2174.997533
1061,6294.629591
1062,6107.01708
1063,6388.435847
1064,2034.28815
1065,6247.726464
1066,2128.094406
1067,2831.641321
1068,18606.62264
1069,5919.40457
1070,2081.191278
1071,2128.094406
1072,6294.629591
1073,1987.385023
1074,6153.920208
1075,5966.307697
1076,14580.79683
1077,18278.30074
1078,6153.920208
1079,6153.920208
1080,6576.048357
1081,2268.803789
1082,2081.191278
1083,1940.481895
1084,6388.435847
1085,9945.230372
1086,10414.26165
1087,5966.307697
1088,2174.997533
1089,2174.997533
1090,5966.307697
1091,6013.210825
1092,6388.435847
1093,9945.230372
1094,6013.210825
1095,5966.307697
1096,6060.113953
1097,2690.931938
1098,2174.997533
1099,2268.803789
1100,6153.920208
1101,18043.7851
1102,6060.113953
1103,6294.629591
1104,11117.80856
1105,2268.803789
1106,2268.803789
1107,2315.706917
1108,6153.920208
1109,6013.210825
1110,5966.307697
1111,6388.435847
1112,10132.84288
1113,10179.74601
1114,6529.14523
1115,10648.77729
1116,2268.803789
1117,6529.14523
1118,6153.920208
1119,10601.87416
1120,2268.803789
1121,10414.26165
1122,14533.89371
1123,6153.920208
1124,14299.37807
1125,1987.385023
1126,1940.481895
1127,2174.997533
1128,6107.01708
1129,14299.37807
1130,2081.191278
1131,9898.327244
1132,14252.47494
1133,6153.920208
1134,2081.191278
1135,2362.610044
1136,2174.997533
1137,2690.931938
1138,6153.920208
1139,10273.55227
1140,13924.15305
1141,6153.920208
1142,6153.920208
1143,10742.58354
1144,5872.501442
1145,6341.532719
1146,6060.113953
1147,5966.307697
1148,2081.191278
1149,2034.28815
1150,6200.823336
1151,2081.191278
1152,6060.113953
1153,6622.951485
1154,1940.481895
1155,6435.338974
1156,14252.47494
1157,2128.094406
1158,6388.435847
1159,2081.191278
1160,6013.210825
1161,2174.997533
1162,9945.230372
1163,2409.513172
1164,10039.03663
1165,2268.803789
1166,1987.385023
1167,10132.84288
1168,5966.307697
1169,2174.997533
1170,2268.803789
